;Bulk sample number;E_bulk_sim (kJ/mol);E_vac_sim (kJ/mol);Hvap_sim (kJ/mol);Vacuum sample number;Vol_sim (mL/mol);[#6X4:1]_eps_val;[#6X4:1]_rmin_half_val;[1:1]-[#6X4]_eps_val;[1:1]-[#6X4]_rmin_half_val;dE_bulk_sim (kJ/mol);dE_vac_sim (kJ/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol)
33;1079;12216.01371102466;85.50646071336202;39.102489569997374;3144;107.73563629703796;0.11213499999999997;1.89846;0.016092499999999996;1.479565;6.67524617306744;0.20816837820434986;0.20987381036579303;0.030821802231290767
34;1234;12906.736839362122;85.18548293493897;36.018353519746725;3003;110.36690835410818;0.1094;1.89846;0.015307499999999996;1.494435;6.247899582470239;0.21711362768324463;0.21854726564813098;0.03037853233420616
35;1613;12452.815300936621;85.58268542048155;38.2314219397505;3003;108.58690083726135;0.11213499999999997;1.89846;0.0157;1.4869999999999999;5.507853170729339;0.22307437861542495;0.22415967867894426;0.024221162995625954
36;1750;12956.800857061646;85.30624864455157;35.93888907437058;3133;110.11031618230678;0.10666500000000001;1.9080000000000001;0.015307499999999996;1.4869999999999999;5.135366125047804;0.20345232062920218;0.20448667081244537;0.025698927566499694
37;1193;12469.04103030327;85.31415340237756;37.898075427150886;3294;107.71142587713574;0.1094;1.91754;0.016092499999999996;1.479565;6.126977791387886;0.2187138617841976;0.22008269139898978;0.02650677667146182
38;1776;12337.694180639355;84.79815810798524;37.90755186468357;2580;106.87644301240023;0.11213499999999997;1.91754;0.0157;1.479565;5.221695287138634;0.22969517680896623;0.230642866530335;0.022750852889368
39;1553;12587.478030675047;84.64315614120603;36.75327432258472;3260;108.26431605072032;0.1094;1.9080000000000001;0.015307499999999996;1.479565;5.225864595229509;0.2221368316471603;0.22311818965111765;0.02557159617211882
40;1715;12396.036071007537;84.77741845287365;37.65333301179961;2818;107.98175290980986;0.11213499999999997;1.9080000000000001;0.016092499999999996;1.4869999999999999;5.368961512767599;0.22117546929282966;0.22221566143265276;0.023089997972334665
41;1812;12425.017997259918;85.11111247720815;37.8711927581574;2862;107.05673278302531;0.11213499999999997;1.91754;0.015307499999999996;1.479565;4.796517944028498;0.22029961848072566;0.22113350550678698;0.021621172056371984
42;1230;12733.599703329748;84.6681876482492;36.193742313077195;2596;109.02496884171462;0.1094;1.9080000000000001;0.015307499999999996;1.4869999999999999;6.439426266919221;0.23235655166494695;0.23377986756854635;0.02867611627825444
43;1458;12769.323013378018;85.34915071498074;36.73175249603187;2869;109.61549937412131;0.10666500000000001;1.89846;0.015307499999999996;1.479565;6.032891166059445;0.22732735165485102;0.22860458707465317;0.028039388174720743
44;1474;12675.20666178792;84.6845105406491;36.44368640370887;3262;108.5395028569208;0.11213499999999997;1.91754;0.0157;1.494435;5.71624480794915;0.19770997378577254;0.199027739311997;0.02425820081613129
45;1592;12844.781461196979;84.653824690648;35.734569461561;2591;109.84538909979523;0.1094;1.9080000000000001;0.0157;1.494435;5.424269882113351;0.22743631127588756;0.22846890150121066;0.024897487927625587
46;1639;12769.135142169927;85.47052867243582;36.853877249209965;3069;109.66192619943945;0.1094;1.9080000000000001;0.016092499999999996;1.494435;5.4636386779097155;0.21521687087124883;0.21632365352572336;0.023138263846509993
47;1606;12714.118198768121;84.82245599508832;36.42593129232685;2984;109.0782939503022;0.10666500000000001;1.9080000000000001;0.0157;1.479565;5.449685900871526;0.2277373810023956;0.22877827679874993;0.025212787746603207
48;1056;13017.663743406261;84.42557660066775;34.814659223096086;2963;111.16241531308174;0.10666500000000001;1.89846;0.0157;1.494435;6.660203625827193;0.22196291343014127;0.22355596155607424;0.03352453292148467
49;1804;12373.66187984332;84.61033395559505;37.57575331828941;2977;107.90215774617893;0.11213499999999997;1.89846;0.015307499999999996;1.479565;5.003856454407099;0.2191738730105496;0.22008590115318946;0.022806624860025982
50;1617;12944.095562422886;84.6075047987709;35.291036247140944;2930;109.41883107346072;0.1094;1.91754;0.015307499999999996;1.494435;5.39714272106555;0.22527015230541028;0.22630224903596352;0.024668558608714957
51;1615;12819.83075069423;84.69328394026915;35.87388895243094;3071;109.27707981483235;0.10666500000000001;1.91754;0.016092499999999996;1.4869999999999999;5.536051718366298;0.20023223191028733;0.20145300345131695;0.023692984286006767
52;1387;12568.700554629797;85.44171060450287;37.62688142424734;2990;108.83130432023233;0.1094;1.89846;0.015307499999999996;1.479565;5.865901456932899;0.22393326757262932;0.2251591639957373;0.02631756897101027
53;1786;12554.902044604425;84.77909515187903;37.01951589160768;2929;108.27803815496651;0.11213499999999997;1.9080000000000001;0.015307499999999996;1.4869999999999999;5.206052033493098;0.22540011680836483;0.22636002364994004;0.022512272661550443
54;1790;12655.285063104635;84.89522414368388;36.73399211956858;2774;109.47298709657261;0.1094;1.89846;0.0157;1.4869999999999999;5.295171173752222;0.22710491071410283;0.2280904686316436;0.024237794893777392
55;1936;12589.736074403656;84.71747946387319;36.81855916255652;3211;108.32676932714767;0.11213499999999997;1.91754;0.016092499999999996;1.494435;4.953842722001396;0.20132351259606734;0.2022963312861832;0.020771061365477038
56;884;12528.620593252801;84.90863617025205;37.2542378674109;2982;107.73197851429651;0.1094;1.91754;0.0157;1.479565;7.2574067236214574;0.2087550109652142;0.21076378685956032;0.03233005876710977
57;1439;12631.177266150195;85.3577713505857;37.29302406879415;3004;108.94274446301937;0.10666500000000001;1.9080000000000001;0.016092499999999996;1.479565;5.543745979690156;0.20800346289446353;0.20918214669334756;0.0268450661936971
58;1580;12428.54796875304;84.54275497014032;37.28861829538512;2741;108.01781923800222;0.1094;1.9080000000000001;0.016092499999999996;1.479565;5.60921682640989;0.2333818730693446;0.23445791028977558;0.02343399657402739
59;1173;12256.136901673028;85.18014088580495;38.61576258550259;3026;106.88805554703903;0.11213499999999997;1.91754;0.016092499999999996;1.479565;6.56811781831142;0.21786197373893845;0.21944038451255635;0.025798017995940125
60;1676;12417.753669427764;85.37391411108241;38.16299351116629;3073;107.63289311949559;0.11213499999999997;1.91754;0.016092499999999996;1.4869999999999999;5.237968230454604;0.22269459729009758;0.22367803791696167;0.02268812221860005
61;1671;12640.459291811538;85.34328561615544;37.241365052669;2512;109.39006178497621;0.11213499999999997;1.89846;0.0157;1.494435;5.621447476917937;0.24113730101594588;0.2421834195295717;0.02427194169630504
