;E_bulk_sim (kJ/mol);E_vac_sim (kJ/mol);Hvap_sim (kJ/mol);Vol_sim (mL/mol);dE_bulk_sim (kJ/mol);dE_vac_sim (kJ/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol);eps_val;rmin_half_val
54;12173.604212675751;85.32352269653099;39.08916659797314;107.96285004788888;19.65115271830885;0.4637889764605113;0.47040291200220186;0.09038133342628571;0.1157;1.887
55;13194.456050980096;86.05738843547272;35.7392843951665;111.33501372113273;13.79513919801711;0.47776618150931177;0.48094221906899987;0.06350735561309813;0.1022;1.911
56;12800.686873057983;85.45570035071388;36.712862226570735;109.46170209126741;13.919240392541989;0.4868744181839414;0.490047572368824;0.07203976050660771;0.1076;1.908
57;12770.335528470849;85.63601764638254;37.01458983412173;109.41285522192274;14.715551527289826;0.4745250143538064;0.4781618435214582;0.06591570715275892;0.1076;1.9045
58;12576.779421621752;85.0083973317104;37.16127782143852;108.58241371158212;13.734013080763296;0.47201688856461965;0.4752030228977086;0.05945078159075058;0.111;1.908
59;12811.605683299698;85.35667939467122;36.57017235767928;109.39904745683953;14.143621289373847;0.510182257397159;0.5133094663066937;0.08065878596986062;0.1076;1.911
60;12468.83949476709;85.20898018228944;37.79372147535465;107.58146402400737;14.465634441848295;0.43831095328128633;0.44211374676230564;0.05685199512082048;0.1126;1.917
61;13078.653010275137;85.20468613743988;35.34989171245532;110.37013746549165;11.417032833703873;0.3919429520943348;0.394594546267599;0.05248115306054866;0.104;1.917
62;12559.909691710662;85.88366136578901;38.10393106794987;109.47060392562786;14.876132254935353;0.5154496747601834;0.518872967332486;0.06580918777362671;0.111;1.8905
63;12542.320565390695;83.80275502250073;36.0934748070496;108.54409790440856;18.90918451385886;0.4218357565234718;0.42856308955778827;0.1018987014569722;0.111;1.9045
64;12265.376588886877;85.33992356298928;38.73858660845591;106.88711867193454;13.0527203670715;0.46998700249514647;0.47287816473624916;0.05073229799344957;0.1157;1.914
65;12310.542975789283;83.90920893539717;37.12710585335491;107.88295925868465;18.44070642401129;0.5322645216009987;0.5373513519911967;0.08685927918183267;0.11415;1.901
66;13110.315928636242;85.63225816962228;35.6508080745005;110.40970868118161;14.727081276185315;0.538960445921165;0.5421702251844412;0.0644407629625729;0.104;1.92
67;12927.221772397184;85.20413592731359;35.95510871953203;109.95166527547244;20.848079126799355;0.49113400974780613;0.49816352142267917;0.09540435205617333;0.1058;1.908
68;13208.893602650642;85.24615379340298;34.87027029831721;111.62459884363413;15.06672024482515;0.5191499218445875;0.5226363347197766;0.08580668899718676;0.1022;1.9045
69;12175.630078926502;85.41792523374221;39.17554920203504;107.13580199166884;15.34410130747864;0.4702647204198731;0.4742530657985057;0.05309152448573009;0.1157;1.9045
70;12508.299221902536;84.936878988215;37.363662346511404;108.75994151929956;13.119864081908053;0.4218425219763367;0.4250943503829102;0.06542784729477924;0.111;1.8975
71;12975.991263584412;84.88381614232216;35.439736950015224;109.69443533948125;12.58780739924449;0.4471052512331547;0.44993149704962127;0.058678202150986375;0.1058;1.92
72;12652.812523834484;85.52723606423345;37.37584758188805;109.93452482633276;19.137269831826288;0.47371540844440907;0.4798604482838758;0.09057695586692228;0.1094;1.887
73;12675.12525824699;85.63686852152408;37.39632053564059;109.0292365894074;14.558241128944854;0.43827651104028104;0.44212823743416546;0.07050184971310869;0.1094;1.9045
74;13252.012531170862;85.40845254857295;34.860159131493845;110.97319203620002;18.32728138059368;0.47307416961923177;0.47872058440261556;0.09128306402950619;0.1022;1.92
75;12410.313652444242;84.31997051236146;37.138751105979246;108.21580797282894;17.74329872141074;0.4551144625538518;0.4606152065127157;0.07194068225392425;0.1126;1.901
76;12774.098327862015;83.76815140201973;35.13155918969822;110.53367201429089;15.809052355015481;0.45413417267877837;0.45851571950098247;0.07211237724923124;0.1076;1.8905
77;12678.640701799312;85.14979974354381;36.89525754408795;108.36031939225528;14.123956494949985;0.46304113266790226;0.4664749392253197;0.05400535215282582;0.1094;1.92
78;12324.291760679476;85.17013025716336;38.33298760374385;108.32287823369417;14.842890820254121;0.40609581593615535;0.4104129558068722;0.06776946462726254;0.11415;1.8905
79;13194.75766552481;84.47117366364499;34.151766836198036;112.28876581886865;16.95596743833185;0.45323231050632967;0.4582789594497544;0.08807275982117106;0.1022;1.8975
80;12960.628824944491;85.60601142064469;36.223417438671746;109.34338806912803;12.395779008789715;0.42985425335008115;0.43270447715617005;0.05608078815798551;0.1058;1.923
81;12437.811550415883;85.7849928803999;38.49372364981625;108.79236554566828;19.116842419559738;0.45966000963662756;0.4659770199983256;0.08958449218784435;0.1126;1.894
82;13094.248882555312;85.48732842535355;35.57011644309419;110.70744592189848;20.366251458342074;0.5282704857809535;0.5345149702204468;0.0810974154407586;0.104;1.914
83;12791.752239008747;84.50150714756144;35.7943951070474;109.58499484209013;16.850372151731225;0.48920709233066867;0.49382845189464725;0.06831477796868;0.1076;1.908
84;13242.15937789638;85.28396771307256;34.77510227221594;110.82108189205546;13.1787996249586;0.4065683694825584;0.40997162251631164;0.0714478655563365;0.1022;1.923
85;12548.323903166205;84.41105179831057;36.677747611173636;108.64925219911487;21.724431734337795;0.5222915848443384;0.5294711650771974;0.10005178498372831;0.111;1.901
86;12848.539407842021;85.88005368030555;36.94588009481679;108.72231802639797;12.349387286161434;0.42171774022760145;0.42460095420874033;0.05494861146633445;0.1076;1.926
87;12450.70947467863;85.16292817254256;37.82014745457889;107.99821038769053;15.18311369337169;0.4939876757417476;0.4977069970356528;0.07049874927654287;0.1126;1.908
88;12832.002026261975;83.91901791205746;35.050985070311704;108.80927423613021;15.693988672228016;0.6528083745420686;0.6558197880548932;0.06642001830030868;0.1076;1.92
89;12338.062012827337;84.74097043090235;37.84886344201895;107.16769875301314;13.425177717719366;0.44616054728856686;0.449380685319691;0.05732668386738039;0.11415;1.914
90;13219.555422590001;85.52427741451835;35.10569377023077;112.14805868880224;10.741602639683121;0.6398775136010505;0.6413184426567381;0.065000429719213;0.1022;1.901
91;13195.310451847345;84.68597418415203;34.36431656358449;112.68131859571409;19.470185679650537;0.43201348421341046;0.43897728953723975;0.09942974872931164;0.1022;1.8905
92;13169.919015244639;85.08672160327069;34.866632686787966;112.65203469470039;10.360522468458328;0.4352604395170117;0.4372288840562413;0.05549237188756623;0.1022;1.887
93;13174.535651424283;85.12350189402213;34.885086935468856;111.26091936764989;20.203358235001925;0.46536614209395727;0.4723308768958515;0.10766237365119294;0.1022;1.908
94;12443.03434125933;84.78381030685136;37.47174839012784;107.81734342771382;18.306546325382847;0.502914341399558;0.5082173836612147;0.07428041176694751;0.1126;1.911
95;12787.139004661289;85.61563027925736;36.92691460348433;110.14512007797816;11.506229723256164;0.5235345350165586;0.5255537104288199;0.055468780824608266;0.1076;1.8975
96;12735.598258882916;85.18000912931501;36.69757044083821;109.01636579341012;15.198185358472056;0.4780295781890533;0.48187968943283316;0.07223786142787234;0.1094;1.914
97;12627.216307059305;84.94877277724493;36.89982675990972;109.36424849489963;17.39842625226756;0.4698303428529604;0.47495666635685974;0.08551704051926089;0.1094;1.8975
98;12509.211291428945;84.76433065014663;37.187608062409495;107.35071308271557;13.702789334156666;0.42803894894618577;0.4315340135098943;0.05637631661181575;0.1126;1.923
99;12336.955850029428;85.18520626427818;38.29753096795576;107.09798222481614;13.82666477598855;0.49787376190229515;0.5009362328311753;0.05521983741355712;0.11415;1.92
100;13253.152846623618;85.00551261085401;34.45269512485565;110.60494558305781;19.92375542353655;0.5250257079037888;0.5310398200997696;0.09334835440591145;0.1022;1.926
101;12653.062691270537;85.25806096824041;37.10578753285775;108.78881485662002;14.076303311657425;0.44293428032021986;0.4464986604247081;0.06224190380194445;0.1093;1.908
102;12683.715728970225;84.93572042697946;36.660843251501554;108.70554056440766;12.920633413862538;0.40200898884664876;0.405317543945382;0.055449915111602244;0.1094;1.911
103;13073.888445178603;85.50630141257153;35.67043904307833;111.61969087905582;13.291682483366758;0.4038723310910809;0.4073567982054113;0.0709855443150917;0.104;1.894
104;12587.802088194901;84.60500029039734;36.71378436901075;108.63929313842196;13.828964562304446;0.458311970447355;0.46163806869997254;0.0655680626748517;0.1102;1.908
105;12183.132586980104;85.90437745392515;39.63195009870289;107.54462675093944;15.697645007368044;0.4671737198796088;0.47137452362506005;0.05954073658760334;0.1157;1.8975
106;13058.126495734354;84.68146143152936;34.908715175684705;110.94329611120011;15.032399022724457;0.48553158038381644;0.48924072186830114;0.07550471207422242;0.104;1.9045
107;12830.834553194965;84.93092601223171;36.067428626874154;110.14032255143856;14.396474099483362;0.46170852125302486;0.46528581980012385;0.06676006935023401;0.1076;1.901
108;12321.444315630057;84.9013146844082;38.07564705281677;107.47890169516657;17.945025811168158;0.41379699582018425;0.41997659102909685;0.06323920993877653;0.11415;1.908
109;12675.081186490994;85.7307717368822;37.49035498219979;109.47533384591871;15.229308365775402;0.48154060343923155;0.48537847309653576;0.07147059536490448;0.1094;1.901
110;12809.050891622031;85.39735312896138;36.62114430436934;108.61641687045137;17.777857987746117;0.44021714333057527;0.44592372564793586;0.07636215123144134;0.1076;1.923
111;12669.463186492923;85.91497562925564;37.69698723682171;109.90739071517315;15.948537257504706;0.47588909676572383;0.4801459423365735;0.08361232664697561;0.1094;1.894
112;12419.270266616895;84.99344813354217;37.776366551941976;108.56945675860368;14.5561068526631;0.5326187827469576;0.5357917988534305;0.05977262866373534;0.1126;1.8975
113;12216.936926455885;83.99695384036777;37.589372418264205;106.91798297052003;17.548490341287327;0.4130688839849523;0.4189905669197255;0.06183716788339831;0.1157;1.911
114;13068.58297827651;85.45554156419112;35.640988408939954;110.75487272398065;15.419881365443812;0.4687899270537958;0.4728301593949252;0.07990866151623517;0.104;1.908
115;12586.705956569665;84.32887457954455;36.442081936928794;108.25560729789538;17.622277441485092;0.4487687973831587;0.4542710073960475;0.07688325401212344;0.111;1.914
116;12583.567598441312;84.70989075734546;36.835617522350525;108.59248742266087;13.841393659154509;0.4352931037859847;0.4387999921318957;0.05979471872386267;0.111;1.908
117;12186.859570070836;84.67689690333795;38.389574327089086;107.41877193588127;13.476739729382626;0.47514390368860054;0.4781921051922803;0.05944419441943377;0.1157;1.901
118;12403.262510664925;84.6466179146823;37.493745908727306;106.80161678504001;13.10128868961122;0.42330947018482723;0.4265409802366503;0.052228836361041704;0.11415;1.926
119;12431.535198280588;84.61197112050272;37.34586510220386;108.22005125250799;23.88357151518993;0.5044749511615942;0.5134411127794494;0.11270059806857233;0.1126;1.9045
