;Bulk sample number;E_bulk_sim (kJ/mol);E_vac_sim (kJ/mol);Hvap_sim (kJ/mol);Vacuum sample number;Vol_sim (mL/mol);[#6X4:1]_eps_val;[#6X4:1]_rmin_half_val;[1:1]-[#6X4]_eps_val;[1:1]-[#6X4]_rmin_half_val;dE_bulk_sim (kJ/mol);dE_bulk_sim_dir (kJ/mol);dE_vac_sim (kJ/mol);dE_vac_sim_dir (kJ/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol);dVol_sim_dir (mL/mol)
42;1495;12619.390080022587;84.6458809479994;36.628234430383024;2775;109.41779728741326;0.10666500000000001;1.89846;0.016092499999999996;1.479565;5.7870592129280425;5.811193751858979;0.23477526461367057;0.22764565688907706;0.235913682839477;0.02642532266522212;0.026312988468913008
43;1615;12819.83075069423;84.69328394026915;35.87388895243094;3071;109.27707981483235;0.10666500000000001;1.91754;0.016092499999999996;1.4869999999999999;5.520511487659388;5.519315474546976;0.21313113640099254;0.2121130131671951;0.21427201885181368;0.02402381450948958;0.023782139713412087
44;1727;12869.432358432445;84.95682541200277;35.9389642484537;3076;109.86861207221497;0.10666500000000001;1.9080000000000001;0.0157;1.4869999999999999;5.225135950010182;5.171753536526458;0.2099038573328614;0.2163324944831557;0.21094184520879408;0.023719407554568948;0.02416019943777885
45;1577;12653.009108363483;85.23812261928106;37.08604974660993;2973;108.92514076425404;0.11213499999999997;1.9080000000000001;0.0157;1.494435;5.719728637667444;5.617965991495513;0.22171440196822875;0.22215203114830595;0.22289172433551546;0.02448017936705568;0.02421801946042454
46;1800;12829.487313172569;85.11214667802517;36.254023688630774;2857;110.2845218229461;0.1094;1.89846;0.0157;1.494435;5.164273172308768;5.218707426169258;0.21394638122830895;0.21823672398415803;0.21494131646682263;0.023072155252070625;0.024134564559864274
47;1592;12844.781461196979;84.653824690648;35.734569461561;2591;109.84538909979523;0.1094;1.9080000000000001;0.0157;1.494435;5.572957262790273;5.560871168292126;0.23169709391406637;0.23172806637436114;0.23276698429472473;0.026178240185821378;0.025352880615558973
48;1804;12373.66187984332;84.61033395559505;37.57575331828941;2977;107.90215774617893;0.11213499999999997;1.89846;0.015307499999999996;1.479565;5.218716827841341;5.099478066568329;0.2117394609090152;0.217306693383122;0.2127659733058732;0.023194683911936822;0.0227716689607275
49;1858;12425.810221188001;85.14749967930165;37.90426255922841;2591;108.5270823884433;0.1094;1.89846;0.016092499999999996;1.479565;5.143782540703208;5.052629453907782;0.2326260521151584;0.23802348586175512;0.23353418616850222;0.023185163606798016;0.022763213117212515
50;1606;12714.118198768121;84.82245599508832;36.42593129232685;2984;109.0782939503022;0.10666500000000001;1.9080000000000001;0.0157;1.479565;5.28980395137271;5.486014810543624;0.22506850699265488;0.2242345643721907;0.2260609326259838;0.024897646152827385;0.025693702007721652
51;1617;12944.095562422886;84.6075047987709;35.291036247140944;2930;109.41883107346072;0.1094;1.91754;0.015307499999999996;1.494435;5.497049663649994;5.515137779280542;0.22418865626078105;0.22076048162827244;0.22526436576172262;0.02413559140400672;0.0240680073960248
52;884;12528.620593252801;84.90863617025205;37.2542378674109;2982;107.73197851429651;0.1094;1.91754;0.0157;1.479565;7.294713527651466;7.239937806691187;0.21293649111094917;0.21635545642671036;0.21492639387628582;0.03255754189361335;0.03255229726707212
53;1056;13017.663743406261;84.42557660066775;34.814659223096086;2963;111.16241531308174;0.10666500000000001;1.89846;0.0157;1.494435;6.568718426924005;6.625771352529422;0.22704072752090557;0.21805408860356562;0.22855603460328244;0.03429714625647744;0.0338393787004127
54;1877;12657.703255123663;84.86347197289028;36.692668986066224;3150;108.4650131624788;0.10666500000000001;1.91754;0.016092499999999996;1.479565;4.881119715078589;4.914263863022155;0.2071403010043252;0.20699616718414232;0.20805842828526785;0.023443872276949027;0.022801082031699716
55;1936;12589.736074403656;84.71747946387319;36.81855916255652;3211;108.32676932714767;0.11213499999999997;1.91754;0.016092499999999996;1.494435;5.142261444659456;4.979540535907571;0.20086145009773684;0.21029339286958854;0.20191188123561848;0.020996582942441003;0.0206020847319336
56;1553;12615.854782527256;84.68275797482872;36.67941004902364;3216;107.85936332729186;0.1094;1.91754;0.015307499999999996;1.479565;5.509585208963203;5.585834388231713;0.20805850927098887;0.20680048895600148;0.209222445623432;0.02381713254355891;0.023652029322599147
57;1405;12511.81383928134;84.78950342429927;37.20228899733183;2740;108.15910734737791;0.1094;1.9080000000000001;0.0157;1.479565;5.625940274827958;5.610624111919804;0.23749105576976656;0.23747518818464605;0.23855485918515543;0.02542850826745616;0.026287146375775488
