;Hvap_sim (kJ/mol);Vol_sim (mL/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol);eps_val;rmin_half_val
60;35.57862138075217;110.75460250314971;0.20684781573753847;0.05031951853515885;0.104;1.8905
61;38.88880460966214;105.87085406973026;0.20837963893414302;0.051399872177849894;0.1157;1.911
62;36.93591758296972;109.55360115997277;0.2627399946251093;0.04398942819649063;0.1076;1.887
63;35.745231465165574;109.1369407772075;0.21469362888760607;0.04263319909842003;0.104;1.917
64;36.46781157318373;109.98714033222097;0.21334805268986173;0.05168510724260207;0.1058;1.8905
65;37.197966222209736;107.99439716144136;0.2162845808012724;0.04492997527387569;0.1094;1.9045
66;37.96834880087911;105.77333847146011;0.21812190261176165;0.039871907605476785;0.11415;1.926
67;37.943577904104465;106.78117059869506;0.22053765545163082;0.0391395437530539;0.1126;1.911
68;38.059180621618395;105.79821665012899;0.2110122258786099;0.04057184943328573;0.11415;1.923
69;38.82115084678692;105.74028250909241;0.21845760087928234;0.03414269290433546;0.1157;1.914
70;36.56795447148681;109.36308229328922;0.20902401154896103;0.04475650889881036;0.1058;1.8975
71;39.626271802918644;106.31423002726153;0.2256726998802889;0.04745882596380958;0.1157;1.901
72;35.17950915795722;109.7778855665879;0.22993188712718426;0.045724112437660655;0.1022;1.917
73;36.29276351258037;108.40075712007366;0.2131116723261654;0.04478201955243447;0.1076;1.911
74;37.479568843444696;106.36524189249184;0.23399843732923514;0.04450594096246672;0.1126;1.923
75;37.51390345556201;107.76064491855949;0.2317719165163358;0.05479497888557565;0.111;1.8975
76;37.315430472959456;107.06402347914688;0.21059999829437023;0.03677552764588558;0.111;1.914
77;36.61565656487503;109.41001917375544;0.20726136972649986;0.04687580695795219;0.1076;1.8905
78;36.69433306301251;108.08315051434485;0.2308067389235021;0.04194932401066048;0.1076;1.914
79;38.75837603157448;106.77605666055055;0.2140868284380361;0.037915009104303815;0.11415;1.901
80;37.02867151882065;109.20364236401018;0.21109172284156183;0.060306171738895215;0.1094;1.887
81;36.57681085453339;106.95659728089635;0.21428115666917197;0.059702401232930004;0.1094;1.926
82;36.72675510174168;107.77490900054464;0.2228525084810864;0.04510083595871679;0.1076;1.917
83;36.41650846074143;109.04917282158826;0.22445965754011582;0.03983452787485863;0.1058;1.908
84;35.60150065074847;109.45458931268332;0.23175277005815173;0.05189300627666684;0.104;1.911
85;36.69626454016951;107.37223135107082;0.21792989094939047;0.044234516253362256;0.1094;1.917
