;C_p_res_sim (J/mol/K);Vol_sim (mL/mol);dC_p_res_sim (J/mol/K);dVol_sim (mL/mol);eps_val;rmin_half_val
112;50.40007166265739;105.75023545578388;3.4115163421728765;0.04168353256301764;0.11415;1.926
113;47.608131086452694;108.35207790999725;4.168361910498799;0.06012782533092396;0.1076;1.908
114;50.415548383770485;108.69321170026639;2.9866660660312374;0.039838559291443046;0.104;1.926
115;44.693702124633916;109.16586314585432;2.7422874064365956;0.042164937567034544;0.1076;1.894
116;52.50332105769055;107.55215258304817;4.395720549686591;0.05102788641818294;0.1076;1.923
117;51.04077235584915;108.78000524572407;4.280796475329338;0.06044517806878312;0.1076;1.901
118;45.55672282500119;107.98498953296824;3.126666245723584;0.04858201789744256;0.1094;1.9045
119;42.647204776380754;108.5394249324188;2.8210642029361472;0.04259100964248614;0.1058;1.917
120;52.47179555045534;108.54196593163681;2.7538274426838334;0.039170949977752674;0.1058;1.9140000000000001
121;49.06698104316425;109.76896763757274;3.2302272555971348;0.04680838668585152;0.1058;1.894
