;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;rmin_half values C
12;12780.681106058728;85.56720873327761;36.908308014674226;36.90443229215082;62.71364050578833;109.081578537205;109.07937516712435;24.140417039723808;0.2541457986329521;0.2718011004976036;0.2718717397089637;0.10899138028905188;0.11374028796352895;0.1076;1.9140000000000001
13;12617.42505104425;86.91186156627188;38.929644880745904;38.902246258821;12.08030319260213;107.73083211472552;107.72379479079149;51.226905660693085;0.25832124588625466;0.333115868761424;0.3297226116021578;0.2564875737888164;0.2635240707283886;0.1126;1.923
14;12675.09240822602;85.07337909544056;36.83177253747093;36.832965989316314;202.06857193978905;108.99839111657695;108.99478435832195;14.261933971102676;0.2533197698292857;0.26108140485330544;0.25966391742461226;0.07125656951870585;0.07435380101911272;0.1086;1.9080000000000001
15;12249.658569097766;85.29098824281559;38.76899473411473;38.75249100945712;18.25722630788579;107.23006102171692;107.20749472690063;44.20575340810879;0.2540755182895957;0.3111234591272471;0.3095492647294847;0.12397484672041355;0.12141599921198686;0.1157;1.9045
16;12500.540240833872;86.3567105092519;38.81589668985487;38.81451158884138;848.0000000002698;108.93926881260572;108.9401690597967;7.748822689265499;0.25281984190243034;0.2449516448200845;0.2547127411834882;0.034359207794692384;0.03503603462423758;0.1157;1.9140000000000001
17;13067.796843533533;84.64976011885362;34.90165161004443;34.838306436723066;6.80375710788906;111.18740638574585;111.20106927154451;51.88591023788891;0.2549828452681909;0.3408779459313111;0.3287713712652063;0.18853461227021526;0.16659389546987105;0.1058;1.9045
18;12605.671970166255;84.19957700635706;36.28366805836743;36.23669986449434;14.85548876452174;110.40495686702542;110.4382296802613;55.00729547467106;0.2555918853298428;0.3261472553925437;0.3372536922876292;0.1480864309885702;0.14955774622454845;0.1126;1.8940000000000001
19;13123.347892797863;84.1993505116158;34.265212090265926;34.165691601244546;3.8415997586266935;111.21834545117242;111.2112790079941;51.14486076206377;0.25639789642786565;0.37291871761899137;0.32801315536353826;0.2005401279169791;0.16596373177610024;0.10400000000000001;1.901
20;13106.599277373312;84.97072672209708;35.04847753378835;35.00404919055324;9.471207283444032;111.31142842884951;111.34081238207987;44.997798805622494;0.25427946640233484;0.3177119862928408;0.31153631874455784;0.23831175827198714;0.22259268677534197;0.1058;1.9080000000000001
21;12533.189770282173;84.62935116128075;36.973682079466506;36.95643975057506;44.266957940407174;110.0581179244145;110.0725700693442;34.12665592016758;0.2544305383262112;0.2795871538509451;0.288736830490211;0.113598043274984;0.11709612666273013;0.11415;1.8975
22;13394.01234153907;85.51395546842306;34.452458750636055;34.39751947865113;2.005727488157146;112.07489539518585;112.39231302628792;14.192784295341795;0.25357084235760863;0.2867498107310903;0.25984829227208783;0.5355615991028128;0.2946950387459121;0.1022;1.9169999999999998
23;12775.830225286923;86.71146198115628;38.070984405199795;38.06801672205175;312.78242991420973;109.7878180091691;109.79562333495001;14.691714340686481;0.2529229554713003;0.2495478890730524;0.2596604803311796;0.10621843977391554;0.10718169132522756;0.1126;1.92
24;12276.027557760615;83.59526229459709;36.94427506817515;36.951114106479594;848.0000000002698;108.9381779644987;108.9401690597967;7.644361760532464;0.2523058515686544;0.2586303572193465;0.25415196834948983;0.03438118747190487;0.03503603462428041;0.114614125174;1.8871481657599998
25;12721.682594019643;85.13081307300959;36.7026606217049;36.703962296056645;51.19364236398992;109.73372588359028;109.75644430071716;27.657445698318185;0.25390642527467994;0.2800006228243571;0.2769610479372904;0.20903220478440807;0.20718132405579548;0.1094;1.9080000000000001
26;12913.616481190582;84.66096795545835;35.529412055669326;35.46624292013666;9.22404401968292;110.95288996346427;111.12980751844486;57.33087209524689;0.2530526568237926;0.3461039842381754;0.3415038979609989;0.5339750927405731;0.5307661475518322;0.1076;1.9045
27;13054.18277573027;83.16726691766006;33.47062897839382;33.41017436878511;2.9753616348869216;111.8642673684863;112.143029246256;26.928244387362586;0.2523985871853666;0.3060400418880535;0.27442145288861525;0.5216052220770362;0.37828533078137977;0.10400000000000001;1.8905
28;12917.138459005413;82.99815495556436;33.81823074122781;33.78929294796802;8.632227193149646;111.49175546785229;111.61556014550794;36.24345361844615;0.25246784596222965;0.30230940277049706;0.2911312788489813;0.3817781164879632;0.3699786608738785;0.1058;1.8869999999999998
29;12911.18234816444;85.854793143905;36.66671639373965;36.669915361021644;14.421071199572024;110.00170334545143;110.03356658981748;41.60421569961747;0.2554226933503108;0.3059884286047142;0.3048529569776628;0.3116166501211239;0.2930447344066438;0.1076;1.9169999999999998
30;12460.835297250012;80.81780964962195;33.53067662466697;33.43424980980339;4.915420090099796;110.67498693137227;110.72921602485027;73.55705267077958;0.25675893736804584;0.4155487348979464;0.3905065839572596;0.17440077578997534;0.15139474985277065;0.111;1.855
31;13138.390651210771;83.04278416256656;33.008808412646125;32.948836620231354;2.0305455460682458;112.03457648043388;112.37561873387564;17.69435498558678;0.2525245881559025;0.30130542094464285;0.2622558135114382;0.5507092734015233;0.3008895594306191;0.1022;1.8905
32;12902.010136912246;86.56999682782015;37.421963208521035;37.42191832309613;848.0000000002698;108.94096390431444;108.9401690597967;7.651825603345863;0.2527910270643759;0.2478447882257289;0.25463721318340005;0.034932412525975426;0.03503603462424136;0.1076;1.923
33;13103.914618049124;85.3767467977878;35.429807725208576;35.4209067661345;53.39882743649153;110.35207242730877;110.36197481983751;31.27744292296174;0.25356965151746963;0.2739737557053185;0.28275435142011873;0.09955084337342122;0.1007446670593342;0.10400000000000001;1.9140000000000001
34;12649.591808618052;85.31255888035344;37.176651780723674;37.174171454843055;168.79832088105772;108.76498765741334;108.76426770467472;14.798132828033646;0.25338184899355864;0.2539929054493534;0.2602039915193711;0.060691877521815166;0.06268221752797165;0.1102;1.9080000000000001
35;13060.01506558844;83.45898994726807;33.82411857543609;33.67870963639592;3.831179225410549;110.66564220260864;110.74305463745786;75.07752017081921;0.2591578902796164;0.42274326451187133;0.3966723546179741;0.1912915775723009;0.16086896837362152;0.1022;1.8940000000000001
36;12383.783636466855;85.28367580727738;38.212097712290024;38.2086045968989;87.80453402966141;107.93978209604352;107.93727238658548;21.42939664914193;0.2532635743717793;0.26076271799607864;0.2673760325850916;0.06538983424520951;0.06673742455307707;0.11415;1.9045
37;12369.293648868086;84.30033934745849;37.2919747377407;37.283191409927994;30.951247189741977;108.30307648578604;108.30041641735079;24.864847092296454;0.2550404391081132;0.26798095595393345;0.27374768601359395;0.0884966371114518;0.0899658879472122;0.11415;1.8940000000000001
38;12678.183881075798;83.2432287202133;35.019895856297005;34.99034877552861;13.586154896150422;109.96618668507782;109.99426120286476;53.187155350702426;0.2593604911689444;0.3278456247820234;0.33545467756946235;0.19939625886319606;0.20170817336082;0.1076;1.8869999999999998
39;12337.550564360008;83.67481503808844;36.79092244903703;36.784621214203725;18.64032207603555;108.4881537368613;108.4808558877418;27.458981809411146;0.2568882086166946;0.2752632648738641;0.27938411330358803;0.11127030812835476;0.11201016371816608;0.11415;1.8869999999999998
40;12835.315764210269;83.6117469360506;34.732545845296194;34.73044592213449;848.0000000002698;108.94115115452117;108.9401690597967;7.498382687739719;0.2522298252957888;0.2491680762173428;0.2540068831118063;0.035858452783941376;0.03503603462424252;0.1022;1.8975
41;12848.12520035555;84.2221508534129;35.29066595798426;35.28965084970692;451.1511082816719;108.55847714529324;108.55645825531583;9.648097492479481;0.2526769962135573;0.25056588355217657;0.2556071927811269;0.046214073712409424;0.0468097219429808;0.1022;1.9045
42;12908.901437619881;86.58053245481878;37.45876424613558;37.40504732430238;7.681612063409308;107.40767397713378;107.37009937498009;56.21958879214559;0.2585635145913457;0.3424136203779562;0.3426738482238173;0.23007859973747224;0.23332826296242226;0.1058;1.926
43;12401.269128255066;85.91362337964163;38.925525620952094;38.76873385157688;2.5738231111003445;106.71782420440924;106.713020242375;77.06131722282021;0.2573079310862844;0.4777110730207884;0.4015252386165793;0.11918544975055025;0.07162929971965272;0.1157;1.911
44;12515.420123056694;84.32250742895971;36.72375736312385;36.720961594600354;33.17485835041081;107.24726845377006;107.2311102234764;34.66131226376278;0.2529978774967043;0.2817548050438523;0.2884968478344849;0.1036845070264686;0.10244504056368392;0.1076;1.901
45;12152.601371455803;83.4309207935713;37.28150862090373;37.28068229459632;19.05033459555407;106.93118222238381;106.91102130483164;47.865430207881076;0.25227563869783604;0.3101875420140969;0.31670268154988224;0.09267106973625394;0.08672074314753031;0.1126;1.8869999999999998
46;12395.884482034568;84.57781582159696;37.487097373745144;37.45445241465815;8.710141290158337;106.86164389411293;106.8364237677099;62.06256506882488;0.2535598429478944;0.35047645965422336;0.3548531890278328;0.10543558413366046;0.08894814410251878;0.111;1.901
